budget,genres,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,director,release_year,Year,budget_adjusted,revenue_adjusted
15000000.0,Mystery Drama Crime Thriller Horror,10185,en,19.913961,2008-08-07,3533227.0,98.0,The Midnight Meat Train,6.0,290,Ry\u00fbhei Kitamura,2008,2008,16229941.059808733,3822937.730728322
15000000.0,Mystery Horror,14435,en,13.706357,2009-01-16,100734718.0,101.0,My Bloody Valentine,5.3,299,Patrick Lussier,2009,2009,16287889.734637847,109383731.94892256
14000000.0,Horror Thriller,9877,en,12.159009,1998-09-25,72527595.0,99.0,Urban Legend,5.6,290,Jamie Blanks,1998,1998,20008576.687116563,103655281.89211656
14000000.0,Comedy Horror Romance,12158,en,6.772615,1995-10-27,19800000.0,100.0,Vampire in Brooklyn,4.5,111,Wes Craven,1995,1995,21400249.34383202,30266066.92913386
14000000.0,Horror Thriller Fantasy,11586,en,11.543363,1977-06-17,30749142.0,118.0,Exorcist II: The Heretic,4.5,133,John Boorman,1977,1977,53818448.844884485,118205080.41079207
11000000.0,Horror Science-Fiction,11470,en,11.220643,2001-07-24,16951798.0,91.0,Jason X,4.5,291,James Isaac,2001,2001,14469378.881987577,22298362.54481084
0.0,Horror Mystery Thriller,14033,en,3.231848,2001-09-06,0.0,84.0,Soul Survivors,4.4,49,Stephen Carpenter,2001,2001,0.0,0.0
7000000.0,Horror Thriller,10131,en,17.113408,1988-08-19,72500000.0,99.0,A Nightmare on Elm Street 4: The Dream Master,5.8,281,Renny Harlin,1988,1988,13784437.869822485,142767392.22316146
17000000.0,Horror Drama Thriller,332567,en,60.829621,2016-06-24,119100758.0,86.0,The Shallows,6.2,1567,Jaume Collet-Serra,2016,2016,16500639.564679364,115602275.27282955
13000000.0,Drama Horror,11186,en,16.681567,1990-11-09,35763605.0,84.0,Child's Play 2,5.8,308,John Lafia,1990,1990,23170933.435348127,63744316.22023719
18000000.0,Science-Fiction Horror Thriller,5876,en,37.104353,2007-11-21,57096190.0,126.0,The Mist,6.7,1399,Frank Darabont,2007,2007,20223717.336574353,64149844.86418573
13000000.0,Comedy Crime Horror Thriller,11592,en,6.170139,1994-04-13,7820688.0,95.0,Serial Mom,6.4,135,John Waters,1994,1994,20434824.56140351,12293414.402267208
13000000.0,Thriller Horror,157544,en,10.475368,2015-07-24,1784763.0,91.0,The Vatican Tapes,4.6,243,Mark Neveldine,2015,2015,12777315.551205188,1754190.771931971
12500000.0,Horror Mystery Thriller,26688,en,8.780512,2009-09-09,27206120.0,101.0,Sorority Row,5.4,177,Stewart Hendler,2009,2009,13573241.44553154,29542018.84448836
8000000.0,Drama Horror Thriller,9552,en,47.584643,1973-12-26,441306145.0,122.0,The Exorcist,7.5,2005,William Friedkin,1973,1973,41974234.23423423,2315435937.404617
7000000.0,Horror Thriller Adventure,578,en,50.152327,1975-06-18,470654000.0,124.0,Jaws,7.5,2542,Steven Spielberg,1975,1975,30310390.33457249,2037958064.64684
12000000.0,Horror Thriller,9357,en,20.624896,2002-08-21,52223306.0,96.0,One Hour Photo,6.6,435,Mark Romanek,2002,2002,15539099.499722067,67625262.34486938
12000000.0,Horror Science-Fiction Thriller,13812,en,8.083995,2008-10-10,40855419.0,89.0,Quarantine,5.5,339,John Erick Dowdle,2008,2008,12983952.847846987,44205402.822919324
12000000.0,Drama Horror Thriller,9030,en,11.135734,2008-02-01,56309766.0,98.0,The Eye,5.5,281,David Moreau,2008,2008,12983952.847846987,60926945.55144145
12000000.0,Horror Science-Fiction,31915,en,8.61659,1979-01-01,54000000.0,102.0,Prophecy,5.4,25,John Frankenheimer,1979,1979,38505289.256198354,173273801.6528926
12000000.0,Horror Mystery Thriller,11601,en,6.044161,1999-09-10,21133087.0,99.0,Stir of Echoes,6.5,330,David Koepp,1999,1999,16779615.846338537,29550423.458937574
11000000.0,Horror Drama Science-Fiction,1255,ko,27.65527,2006-07-27,88489643.0,119.0,The Host,6.7,537,Bong Joon-ho,2006,2006,12710947.420634922,102253381.7676141
12000000.0,Drama Horror Thriller,86825,en,27.322212,2013-02-28,12077441.0,99.0,Stoker,6.5,882,Park Chan-wook,2013,2013,12000000.0,12077441.0
11500000.0,Drama Horror,8913,en,20.747994,1989-04-21,57469467.0,103.0,Pet Sematary,6.4,407,Mary Lambert,1989,1989,21604883.064516127,107967053.4187016
11000000.0,Fantasy Horror Comedy,927,en,45.072136,1984-06-07,153083102.0,106.0,Gremlins,6.9,1596,Joe Dante,1984,1984,24663397.49759384,343231763.16279113
11000000.0,Horror Mystery,22804,en,31.900899,2009-10-22,68233629.0,90.0,Saw VI,6.0,722,Kevin Greutert,2009,2009,11944452.472067755,74092121.68974581
12000000.0,Drama Horror Thriller Crime,13937,en,7.558959,1992-08-07,37170057.0,91.0,Raising Cain,5.9,65,Brian De Palma,1992,1992,19925046.329294365,61717925.64895936
10800000.0,Horror Thriller Crime,11917,en,32.943848,2008-10-23,113857533.0,92.0,Saw V,5.9,820,David Hackl,2008,2008,11685557.563062288,123193403.32034852
10000000.0,Horror Thriller Crime,214,en,33.124871,2006-10-27,163876815.0,108.0,Saw III,6.1,1071,Darren Lynn Bousman,2006,2006,11555406.746031746,189366325.35691965
10000000.0,Action Horror Thriller,316727,en,53.727146,2016-06-29,118587880.0,105.0,The Purge: Election Year,6.1,1306,James DeMonaco,2016,2016,9706258.567458449,115104462.62467344
10000000.0,Horror Thriller Crime,663,en,29.244768,2007-10-25,139352633.0,93.0,Saw IV,5.9,903,Darren Lynn Bousman,2007,2007,11235398.520319084,156568236.66107684
10000000.0,Drama Horror Thriller,11804,en,14.447723,2005-01-07,91196419.0,101.0,White Noise,5.6,261,Geoffrey Sax,2005,2005,11928161.80235535,108780564.16273937
10000000.0,Horror Mystery Thriller,1970,en,35.695442,2004-10-22,183474602.0,92.0,The Grudge,5.8,865,Takashi Shimizu,2004,2004,12332292.218104817,226266240.64644784
10000000.0,Horror Thriller,8922,en,23.316208,2001-07-01,59217789.0,90.0,Jeepers Creepers,6.1,720,Victor Salva,2001,2001,13153980.801806888,77894965.9631451
10000000.0,Horror Mystery Thriller,321258,en,38.179483,2016-01-22,64188367.0,97.0,The Boy,5.8,1102,William Brent Bell,2016,2016,9706258.567458449,62302888.71249172
10000000.0,Horror Mystery Thriller,44040,en,30.934688,2010-01-13,33583175.0,80.0,Devil,5.8,816,John Erick Dowdle,2010,2010,10683356.568954762,35878103.324260734
10000000.0,Drama Horror Thriller,280092,en,45.946524,2015-06-04,104303851.0,97.0,Insidious: Chapter 3,6.2,983,Leigh Whannell,2015,2015,9828704.270157836,102517170.57176067
10000000.0,Horror Thriller Science-Fiction,10163,en,10.125029,1992-03-05,32101000.0,108.0,The Lawnmower Man,5.4,197,Brett Leonard,1992,1992,16604205.274411973,53301159.35138987
